#      xpix        ypix        flux     vel_pix    disp_pix
    -3.5126     -9.9999      0.1058     63.8644    114.0520
    -1.0127     -9.9999      0.1066     84.3742     81.5648
     1.4873     -9.9999      0.1045     29.2748    102.7920
    -5.0125     -9.4999      0.1027     91.9801     82.1342
    -4.5125     -9.4999      0.1042     91.9801     82.1342
    -3.5126     -9.4999      0.1070     63.8644    114.0520
    -3.0126     -9.4999      0.1095     67.9109    110.3762
    -2.5126     -9.4999      0.1095     67.9109    110.3762
    -2.0126     -9.4999      0.1096     67.9109    110.3762
    -1.5126     -9.4999      0.1099     78.7499     94.3374
    -1.0127     -9.4999      0.1078     84.3742     81.5648
    -0.5127     -9.4999      0.1085     84.3742     81.5648
    -0.0127     -9.4999      0.1074     38.2353    128.4797
     0.4873     -9.4999      0.1072     38.2353    128.4797
     0.9873     -9.4999      0.1078     38.2353    128.4797
     1.4873     -9.4999      0.1062     29.2748    102.7920
     1.9872     -9.4999      0.1070     29.2748    102.7920
     2.4872     -9.4999      0.1053     11.8991    108.8391
     2.9872     -9.4999      0.1032     11.8991    108.8391
     3.4872     -9.4999      0.1011      2.1855    108.8642
     3.9872     -9.4999      0.0967    -20.7895    107.0714
     4.4872     -9.4999      0.0944    -20.7895    107.0714
     4.9871     -9.4999      0.0923    -20.7895    107.0714
     5.4871     -9.4999      0.0910    -20.7895    107.0714
    -5.5125     -8.9999      0.1055     91.9801     82.1342
    -5.0125     -8.9999      0.1084     91.9801     82.1342
    -4.5126     -8.9999      0.1098     91.9801     82.1342
    -4.0126     -8.9999      0.1100     63.8644    114.0520
    -3.5126     -8.9999      0.1124     63.8644    114.0520
    -3.0126     -8.9999      0.1137     67.9109    110.3762
    -2.5126     -8.9999      0.1166     67.9109    110.3762
    -2.0126     -8.9999      0.1170     67.9109    110.3762
    -1.5126     -8.9999      0.1150     78.7499     94.3374
    -1.0127     -8.9999      0.1165     84.3742     81.5648
    -0.5127     -8.9999      0.1164     84.3742     81.5648
    -0.0127     -8.9999      0.1155     45.8743    124.7916
     0.4873     -8.9999      0.1159     38.2353    128.4797
     0.9873     -8.9999      0.1142     38.2353    128.4797
     1.4873     -8.9999      0.1155     29.2748    102.7920
     1.9872     -8.9999      0.1144     29.2748    102.7920
     2.4872     -8.9999      0.1126     11.8991    108.8391
     2.9872     -8.9999      0.1112     11.8991    108.8391
     3.4872     -8.9999      0.1072      2.1855    108.8642
     3.9872     -8.9999      0.1045      2.1855    108.8642
     4.4872     -8.9999      0.1003    -20.7895    107.0714
     4.9872     -8.9999      0.0979    -20.7895    107.0714
     5.4871     -8.9999      0.0975    -18.4537    136.9028
     5.9871     -8.9999      0.0982    -59.6536    138.2844
     6.4871     -8.9999      0.1000    -59.6536    138.2844
    -6.0125     -8.4999      0.1113    107.8038    105.7070
    -5.5125     -8.4999      0.1141    107.8038    105.7070
    -5.0126     -8.4999      0.1177     91.9801     82.1342
    -4.5126     -8.4999      0.1204     93.4232    101.2037
    -4.0126     -8.4999      0.1219     80.9747     99.4842
    -3.5126     -8.4999      0.1252     71.2966    100.5472
    -3.0126     -8.4999      0.1264     67.3028    101.4740
    -2.5126     -8.4999      0.1288     67.9109    110.3762
    -2.0126     -8.4999      0.1295     69.3922    104.1034
    -1.5127     -8.4999      0.1300     78.7499     94.3374
    -1.0127     -8.4999      0.1311     58.8129    111.2311
    -0.5127     -8.4999      0.1294     45.8743    124.7916
    -0.0127     -8.4999      0.1297     45.8743    124.7916
     0.4873     -8.4999      0.1278     45.8743    124.7916
     0.9873     -8.4999      0.1285     15.5836    124.8967
     1.4873     -8.4999      0.1292     29.2748    102.7920
     1.9872     -8.4999      0.1272     29.2748    102.7920
     2.4872     -8.4999      0.1255     11.8991    108.8391
     2.9872     -8.4999      0.1205     -8.6116    132.1551
     3.4872     -8.4999      0.1183      2.1855    108.8642
     3.9872     -8.4999      0.1149     -0.0243    125.3752
     4.4872     -8.4999      0.1113      0.5734    134.0762
     4.9872     -8.4999      0.1077    -18.4537    136.9028
     5.4871     -8.4999      0.1064    -18.4537    136.9028
     5.9871     -8.4999      0.1052    -59.6536    138.2844
    -7.0125     -8.0000      0.1220    122.8521    119.1737
    -6.5125     -7.9999      0.1206    122.8521    119.1737
    -6.0125     -7.9999      0.1217    107.8038    105.7070
    -5.5125     -7.9999      0.1258    107.8038    105.7070
    -5.0126     -7.9999      0.1293     93.4232    101.2037
    -4.5126     -7.9999      0.1347     93.4232    101.2037
    -4.0126     -7.9999      0.1383     80.9747     99.4842
    -3.5126     -7.9999      0.1396     71.2966    100.5472
    -3.0126     -7.9999      0.1444     67.3028    101.4740
    -2.5126     -7.9999      0.1468     69.3922    104.1034
    -2.0126     -7.9999      0.1501     69.3922    104.1034
    -1.5127     -7.9999      0.1504     58.8129    111.2311
